symbol	P4970_SR_1	P4970_SR_2	P4970_SR_3	P4970_SR_4	P4970_SR_5	P4970_SR_6	P4970_SR_7	P4970_SR_9	P4970_SR_10	P4970_SR_11	P4970_SR_12	P4970_SR_13	P4970_SR_14
DAP3	399	828	274	949	565	677	955	128	618	260	698	301	737
DAP3P1	0	0	0	0	9	0	6	0	10	0	7	0	0
DAP3P2	0	15	0	14	0	12	0	0	15	0	4	0	1
DAPK1	2119	3347	1735	4762	536	1301	4704	687	3390	786	2818	1232	2857
DAPK1-IT1	11	27	32	102	33	6	88	24	126	9	76	37	16
DAPK2	29	94	56	42	159	86	403	158	77	192	49	248	140
DAPK3	259	538	261	515	389	379	614	217	543	280	392	165	429
DAPL1	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPP1	318	736	524	1923	1517	762	1120	679	847	577	1279	1630	840
DAQB-331I12.15	0	0	0	0	0	0	0	0	0	0	0	0	0
DAQB-331I12.5	0	0	0	0	0	0	0	0	0	0	0	0	0
DAQB-335A13.26	0	0	0	0	0	0	0	0	0	0	0	0	0
DAQB-335A13.8	0	0	0	0	0	0	0	0	0	0	0	0	0
DARC	2	0	0	0	0	0	2	31	0	0	4	0	0
DARS	215	306	561	420	588	454	770	200	342	251	497	133	343
DARS2	156	168	127	349	171	269	325	103	278	174	290	67	176
DASS-161H22.6	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-23B5.1	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-23B5.2	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-312M4.10	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-36P22.4	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-397D15.4	0	0	0	0	0	0	0	0	0	0	0	0	0
DASS-397D15.5	0	0	0	0	0	0	0	0	0	0	0	0	0
DAW1	0	0	0	0	0	0	0	0	0	20	0	0	0
DAXX	256	494	228	533	377	430	624	164	334	197	364	113	316
DAZ1	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZ2	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZ3	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZ4	0	0	0	0	0	0	0	0	0	0	0	0	0
DAZAP1	951	2027	606	1730	1008	1449	1895	393	2471	496	1669	443	1843
DAZAP2	1288	6218	2397	6438	2136	4152	5616	1516	3312	2112	4047	3073	6800
DAZAP2P1	35	135	32	72	37	33	47	3	6	23	52	36	44
DAZL	0	0	0	0	0	0	0	0	0	0	0	0	0
DBF4	104	129	57	84	306	299	277	50	79	86	124	41	143
DBF4B	91	42	0	57	20	65	90	24	162	22	54	20	29
DBF4P1	15	0	0	0	0	20	9	0	0	0	2	0	10
DBH	0	0	9	0	0	0	43	0	0	49	0	0	5
DBH-AS1	0	0	0	0	0	0	5	8	0	0	0	0	0
DBI	406	410	310	330	418	424	809	164	219	136	321	282	647
DBIL5P	0	8	7	25	18	7	0	0	5	27	8	0	3
DBIL5P2	0	0	0	0	0	5	0	10	0	11	2	37	3
DBIP1	0	0	0	0	0	0	0	0	0	0	0	0	0
DBIP2	0	0	0	0	0	0	0	0	0	0	0	0	0
DBN1	30	21	221	35	35	47	91	411	61	629	41	71	51
DBNDD1	0	0	6	0	0	3	0	0	0	9	4	0	2
DBNDD2	47	0	3	21	26	17	20	14	0	46	11	26	18
DBNL	2486	4260	1895	5207	2421	3504	5051	1375	4848	1859	4536	2943	4109
DBP	54	367	45	431	95	248	226	48	387	23	325	13	343
DBR1	104	218	81	236	110	221	338	70	108	42	150	45	118
DBT	80	115	27	339	174	160	230	34	175	16	353	66	113
DBX1	0	0	0	0	0	0	0	0	0	0	0	0	0
DBX2	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF10	110	464	161	571	311	488	531	145	311	182	495	196	462
DCAF11	240	783	443	876	491	931	896	564	843	309	746	631	903
DCAF12	276	920	151	1158	45	413	791	218	735	161	717	291	662
DCAF12L1	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF12L2	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF13	105	202	112	243	463	355	191	75	187	68	209	37	189
DCAF13P1	0	0	0	0	0	0	0	0	0	19	0	0	0
DCAF13P2	0	0	0	0	0	0	0	0	0	16	0	11	0
DCAF13P3	0	12	0	67	0	28	0	0	30	0	16	0	24
DCAF15	284	540	170	799	380	494	694	118	762	114	538	241	577
DCAF16	97	398	194	467	327	790	219	112	584	80	486	103	467
DCAF17	62	283	64	277	226	296	172	0	268	0	237	16	190
DCAF4	35	45	39	55	112	93	49	33	102	51	71	5	85
DCAF4L1	10	1	16	26	2	6	20	20	6	0	12	17	11
DCAF4L2	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF5	451	1382	338	1364	724	1457	1262	330	878	201	1181	399	1217
DCAF6	214	493	275	597	538	388	852	143	355	145	579	112	521
DCAF7	1179	1525	624	2169	836	1286	2190	412	1342	312	1781	433	1758
DCAF8	357	596	231	927	758	848	454	178	831	225	813	165	487
DCAF8L1	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAF8L2	0	0	0	0	0	0	0	0	0	0	0	0	0
DCAKD	49	103	34	189	77	161	143	42	69	11	179	8	205
DCBLD1	81	116	118	140	47	75	205	50	93	31	84	49	109
DCBLD2	36	7	161	50	129	54	100	22	40	114	38	49	57
DCC	0	0	0	0	55	0	0	0	0	0	0	1	0
DCD	0	0	0	0	0	0	0	0	0	0	0	0	0
DCDC1	0	0	3	0	0	0	3	7	0	4	0	3	0
DCDC2	0	0	3	0	0	0	0	0	0	0	0	8	0
DCDC2B	3	19	0	55	40	33	10	31	52	27	40	0	27
DCDC2C	0	0	0	0	0	0	0	0	0	0	0	0	0
DCHS1	130	96	207	139	65	15	250	95	61	45	75	42	84
DCHS2	4	0	11	0	6	24	0	0	0	0	0	2	0
DCK	158	402	119	461	378	338	933	71	315	57	356	96	265
DCLK1	7	0	0	0	11	0	0	4	0	0	0	1	0
DCLK2	17	3	25	4	94	14	8	0	0	0	9	0	3
DCLK3	0	0	0	0	0	0	7	0	0	0	0	0	0
DCLRE1A	12	40	16	60	14	61	52	11	26	8	37	6	23
DCLRE1B	230	170	228	272	89	61	555	60	114	46	189	39	182
DCLRE1C	93	507	65	631	111	631	337	18	498	81	507	58	483
DCLRE1CP1	0	0	0	0	0	0	6	0	0	0	0	0	0
DCN	16	0	313	0	12	0	145	95	0	26	0	0	0
DCP1A	408	667	450	627	829	710	1428	259	499	446	560	667	693
DCP1B	29	93	12	160	41	60	81	1	75	8	65	15	44
DCP2	800	2001	993	2563	944	1871	2467	673	1547	976	1963	695	1892
DCPS	87	113	78	174	71	142	133	101	143	164	111	135	117
DCST1	0	6	0	21	15	18	9	0	0	12	16	14	5
DCST2	0	16	6	13	0	0	11	6	0	15	22	22	30
DCSTAMP	65	8	34	0	22	0	69	134	0	50	2	37	14
DCT	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTD	435	414	195	591	237	554	566	135	320	81	348	90	349
DCTN1	1081	1982	698	1811	703	1386	1779	356	1414	311	1399	703	1534
DCTN1-AS1	0	0	0	0	7	14	0	3	0	9	3	0	5
DCTN2	449	822	407	881	422	653	1121	338	647	492	788	375	1181
DCTN3	206	715	115	669	198	607	448	33	209	109	382	95	596
DCTN4	766	1414	1105	1216	732	1221	2252	933	835	1195	1088	776	1643
DCTN5	373	558	172	553	401	733	743	88	213	75	480	139	566
DCTN6	39	92	44	159	63	82	249	24	196	33	153	23	152
DCTPP1	58	147	30	69	107	46	195	28	73	50	46	11	60
DCUN1D1	291	696	211	640	474	759	891	168	314	205	549	187	701
DCUN1D2	51	122	121	223	96	223	193	66	191	73	213	38	164
DCUN1D2-AS	5	9	0	14	5	42	0	0	77	0	37	0	17
DCUN1D3	1325	134	3387	150	1002	109	4131	3793	181	6440	143	3853	209
DCUN1D4	72	247	81	280	236	378	240	63	199	70	254	62	220
DCUN1D5	91	115	68	168	132	156	113	57	65	28	100	62	141
DCX	0	0	0	0	0	0	0	0	0	0	0	0	0
DCXR	226	289	197	216	394	291	471	163	240	128	239	38	199
DDA1	172	402	138	417	203	300	400	107	263	148	300	176	377
DDAH1	4	0	14	5	53	19	7	9	9	0	15	0	0
DDAH2	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB1	1008	2272	939	1991	1450	2300	2608	283	1357	701	1780	591	2159
DDB2	170	230	116	498	120	288	653	30	533	28	375	172	152
DDC	0	0	0	0	0	0	6	0	12	0	0	0	0
DDC8	127	292	117	377	49	236	160	155	399	206	388	176	351
DDHD1	471	746	327	839	831	904	676	129	572	141	1012	161	726
DDHD2	120	229	117	303	510	456	470	68	296	54	304	32	195
DDI1	0	0	0	0	6	28	0	0	22	0	6	0	0
DDI2	187	730	261	795	694	687	532	160	852	116	733	107	557
DDIT3	135	184	1552	118	456	225	1113	3366	160	1745	61	711	254
DDIT4	3819	484	5095	162	2380	2543	6279	2966	1627	1818	696	1969	514
DDIT4L	0	0	0	0	0	0	0	2	14	0	0	0	0
DDN	4	9	0	29	1	0	11	6	0	0	13	0	6
DDO	27	33	0	110	0	23	28	6	35	10	40	31	41
DDOST	1263	2038	872	1909	800	1598	2766	370	855	313	996	497	1960
DDR1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	19	11	47	9	0	0	65	48	0	83	14	0	2
DDRGK1	526	512	146	398	222	495	671	24	392	44	342	150	714
DDT	34	101	49	94	37	49	123	37	1	10	55	25	121
DDTL	17	20	12	52	49	44	36	12	44	17	22	29	38
DDTP1	0	6	0	6	19	8	0	0	20	0	1	0	4
DDX1	278	552	181	699	435	574	703	128	581	66	567	103	486
DDX10	113	242	101	269	300	218	248	68	365	47	323	77	164
DDX10P1	4	27	118	87	9	45	37	59	121	515	107	157	77
DDX10P2	0	0	5	0	0	0	0	0	0	0	3	0	1
DDX11	170	290	59	164	219	422	119	3	25	26	339	44	135
DDX11-AS1	0	0	0	0	6	0	0	0	0	0	0	0	0
DDX11L1	0	8	15	3	9	0	0	0	0	0	5	0	10
DDX11L10	0	1	0	2	0	0	0	0	0	0	1	1	4
DDX11L16	0	0	0	0	0	0	0	0	0	0	4	0	2
DDX11L2	6	36	6	11	17	81	27	10	84	31	16	8	11
DDX11L5	4	13	0	7	8	26	0	0	15	0	4	0	4
DDX11L8	0	38	0	8	8	0	0	0	18	8	7	0	5
DDX11L9	0	0	0	21	16	0	0	15	52	0	0	0	2
DDX12P	84	63	9	50	61	42	100	6	62	10	46	19	28
DDX17	4182	9269	4595	11357	8738	11488	9972	2577	11594	3380	11056	5193	10134
DDX18	330	1015	653	953	1172	974	1462	625	550	755	891	472	733
DDX18P1	9	37	6	81	33	95	20	2	49	18	49	0	77
DDX18P5	0	50	8	40	52	57	12	5	0	13	61	0	35
DDX18P6	0	0	0	0	0	0	10	0	0	0	0	0	3
DDX19A	213	441	115	493	268	404	415	65	448	140	443	190	377
DDX19B	82	197	67	217	124	189	218	46	78	45	186	19	143
DDX20	60	154	18	227	133	231	229	30	267	32	169	19	158
DDX21	1105	3392	1631	2464	3837	2490	3762	1477	2382	919	2125	1486	3370
DDX23	498	746	245	1247	678	866	960	166	813	221	902	412	837
DDX24	1068	1489	832	1630	2326	2364	2259	582	1447	396	1425	623	1263
DDX25	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX26B	246	416	184	407	1031	552	666	184	338	266	492	157	450
DDX26B-AS1	0	0	0	0	0	0	0	0	0	8	0	0	0
DDX27	361	529	385	786	933	857	948	304	596	387	700	495	587
DDX28	8	295	28	293	79	258	177	0	165	10	170	11	153
DDX31	51	88	37	77	329	213	138	62	156	11	111	47	43
DDX39A	902	1593	1259	1808	1729	1167	2433	1622	1362	2977	1785	1134	1135
DDX39AP1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39B	767	2125	943	2460	1162	1481	1157	598	3337	1162	2901	890	1513
DDX39B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39BP1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39BP2	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX3X	5315	10073	10213	10124	13737	7209	26305	13053	5050	18466	11012	16052	12839
DDX3Y	3054	2173	7753	1751	5501	2330	7592	7288	921	0	6	0	0
DDX3YP1	0	3	7	11	17	0	2	0	0	0	15	0	3
DDX3YP2	0	4	0	4	15	0	0	0	0	0	0	0	0
DDX3YP3	0	2	0	0	0	0	0	0	0	0	0	0	0
DDX4	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX41	586	1186	531	1138	478	634	944	418	948	790	699	244	912
DDX42	589	1388	434	1527	961	1475	1099	184	1394	238	1297	424	1298
DDX43	49	21	38	24	62	19	26	45	32	19	12	7	9
DDX46	415	1486	451	1727	848	1324	1166	165	974	199	1306	233	1383
DDX47	13	66	6	77	100	99	18	5	28	13	100	16	60
DDX49	209	574	279	592	220	436	638	125	477	304	445	147	638
DDX5	9338	16029	10128	16057	13426	16641	21289	9773	10626	9228	13274	8155	13140
DDX50	115	292	290	490	308	445	462	63	181	106	358	142	281
DDX50P1	0	16	5	40	10	50	11	0	59	0	68	0	29
DDX50P2	0	13	0	10	12	4	8	0	0	0	1	0	8
DDX51	183	240	48	273	143	305	239	8	344	18	424	63	248
DDX52	131	536	109	302	305	562	354	35	262	50	451	76	498
DDX53	0	0	0	0	6	5	0	0	0	0	0	0	0
DDX54	429	864	174	881	487	791	786	126	699	160	835	122	775
DDX55	39	263	57	199	194	320	146	25	288	7	323	10	247
DDX56	221	402	132	487	437	689	485	137	626	184	541	200	353
DDX58	1012	785	437	645	452	325	2479	1598	706	611	631	6297	410
DDX59	146	338	147	445	170	356	422	99	310	154	399	151	345
DDX6	834	2543	1090	2663	3657	5263	3547	726	1876	1144	2353	990	3185
DDX60	1015	1586	697	947	489	785	2111	1372	892	938	857	3953	457
DDX60L	3388	3314	14173	3586	3110	1953	7050	16587	4228	11025	2924	41167	3080
DDX6P1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6P2	0	1	0	0	0	3	0	0	0	0	3	11	7
DEAF1	50	378	89	394	298	285	349	98	293	156	325	88	304
DEC1	0	0	0	0	0	0	0	0	0	0	0	0	0
DECR1	320	1012	203	1203	240	738	1016	214	940	118	961	461	661
DECR2	5	46	5	55	45	52	16	0	35	0	39	0	39
DEDD	122	418	171	450	213	222	434	73	298	154	285	145	368
DEDD2	859	1317	1685	1622	588	725	1892	1217	731	1058	913	416	1279
DEF6	925	1159	409	1298	910	1208	1311	411	1022	325	1296	765	1338
DEF8	425	1020	325	1384	190	660	1036	377	1208	389	1172	464	1451
DEFA1	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA3	0	0	6	38	0	0	37	27	0	49	0	0	0
DEFA4	0	0	0	0	0	0	0	0	0	0	0	0	5
DEFA5	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA7P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB1	32	0	0	0	0	0	17	10	0	30	0	4	0
DEFB103A	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB108B	0	0	0	6	0	0	0	0	0	0	1	0	0
DEFB108P1	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB108P2	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB108P3	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB108P4	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB109	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB109P1	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB109P1B	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB109P3	0	0	0	0	0	0	0	0	0	0	0	1	0
DEFB110	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB117	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB124	0	0	4	0	0	0	0	0	0	0	0	0	0
DEFB125	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB126	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB130	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB135	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB136	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0	4	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0	1	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0	0	0	0	0	0	0	0
DEGS1	427	729	564	711	590	528	1190	316	265	279	335	354	557
DEGS2	3	4	0	11	32	39	5	0	0	0	53	0	4
DEK	929	2052	872	2208	969	1675	2713	495	1343	444	1724	850	2042
DENND1A	455	2252	642	2728	443	1103	1330	454	1995	508	2165	976	2045
DENND1B	655	443	425	744	741	646	1388	174	240	208	445	369	467
DENND1C	449	842	281	1027	419	1113	699	180	634	271	1009	533	1035
DENND2A	0	0	10	0	0	7	7	0	0	0	3	1	0
DENND2C	14	11	28	10	49	47	7	32	0	42	3	4	9
DENND2D	340	283	611	466	429	807	548	700	570	165	511	365	189
DENND3	3366	3896	5870	4985	4571	4287	6787	6059	7406	7732	4830	8623	5341
DENND4A	1117	1271	1970	1784	7025	1817	3080	1061	1346	1406	1562	1154	1721
DENND4B	1468	2461	1561	3591	1295	2132	2600	2703	4024	2789	3768	1958	2943
DENND4C	539	862	629	1479	681	1263	1794	427	1286	296	1261	316	1039
DENND5A	2700	3469	9976	3975	2727	2173	9456	5878	2431	12659	3199	5281	3938
DENND5B	25	38	33	19	1174	492	120	29	100	23	119	45	42
DENND5B-AS1	0	0	17	0	66	12	8	0	0	0	3	0	11
DENND6A	293	807	197	764	273	873	709	113	966	204	825	179	645
DENND6B	79	273	96	272	134	187	168	37	166	1	160	21	198
DENR	216	501	253	623	256	522	499	165	341	362	482	164	402
DEPDC1	0	0	2	0	15	0	2	5	11	0	0	1	3
DEPDC1B	1	21	13	10	24	0	63	12	14	113	11	9	10
DEPDC4	0	5	0	5	0	4	6	23	0	0	4	0	8
DEPDC5	279	554	177	650	583	727	603	99	591	108	739	196	543
DEPDC7	40	0	20	10	0	5	12	17	0	0	3	0	1
DEPTOR	28	0	33	6	33	19	293	0	116	0	11	0	4
DERA	71	317	64	277	124	329	441	27	185	133	334	56	354
DERL1	218	874	227	823	870	1102	864	172	416	160	765	229	728
DERL2	161	391	157	330	286	409	413	110	205	68	302	125	414
DERL3	10	43	29	25	357	84	60	4	15	7	94	22	21
DES	6	3	0	5	24	14	12	0	55	6	18	0	4
DESI1	321	519	316	735	351	513	538	147	434	162	638	560	631
DESI2	158	362	176	404	475	348	597	78	369	194	364	102	407
DET1	10	51	10	63	11	44	85	0	110	0	73	0	56
DEXI	30	48	52	70	56	53	34	0	49	0	116	72	6
DFFA	139	206	65	387	168	341	280	44	207	32	267	22	335
DFFB	19	95	4	156	30	126	85	0	237	9	134	39	117
DFNA5	225	2	438	33	113	57	410	279	46	124	15	46	25
DFNB31	153	7	205	14	291	68	297	228	18	315	34	61	46
DFNB59	12	0	4	0	6	11	0	0	0	0	2	0	5
DGAT1	382	620	499	889	391	442	895	219	609	420	702	330	720
DGAT2	182	431	1056	528	407	199	1581	1507	312	1924	225	3583	853
DGAT2L6	0	0	0	0	0	0	5	0	0	0	0	7	0
DGAT2L7P	0	0	0	0	0	0	0	0	0	4	1	0	0
DGCR10	0	13	0	21	0	0	24	0	0	0	14	9	5
DGCR11	21	89	0	158	51	33	14	0	97	8	115	10	80
DGCR14	137	336	58	289	182	221	356	85	301	25	288	137	386
DGCR2	342	1425	312	1918	376	1002	1148	269	1242	311	1228	772	1391
DGCR5	10	15	0	22	0	6	10	0	23	4	12	11	22
DGCR6	57	75	30	96	51	82	129	0	51	52	68	7	84
DGCR6L	94	273	83	288	133	224	299	79	69	16	139	152	230
DGCR8	98	369	129	377	191	292	316	95	370	139	516	110	249
DGCR9	0	4	0	0	0	0	7	8	0	12	25	9	8
DGKA	591	487	610	652	817	747	1088	298	923	405	758	535	756
DGKB	0	0	0	0	0	0	0	0	0	0	0	1	0
DGKD	470	1692	770	1971	1476	2180	2423	618	3720	877	2244	1102	1422
DGKE	62	212	196	257	253	440	219	222	186	428	364	40	204
DGKG	53	536	70	884	175	413	74	56	487	68	712	20	502
DGKH	469	241	471	136	99	102	975	165	277	157	249	171	130
DGKI	8	0	11	0	18	0	22	6	0	5	0	0	0
DGKK	0	0	0	0	9	268	4	0	8	0	20	1	0
DGKQ	234	438	154	604	230	1091	735	76	550	62	648	184	479
DGKZ	849	2710	737	2744	416	2355	1862	302	2164	485	2391	589	2828
DGKZP1	8	31	0	48	7	45	61	0	4	1	22	1	39
DGUOK	110	192	190	225	184	199	315	121	254	89	197	140	287
DGUOK-AS1	7	14	2	25	9	12	31	17	40	16	18	44	12
DHCR24	111	67	61	113	101	170	218	53	348	63	95	24	377
DHCR7	38	90	178	43	84	116	200	118	10	213	31	16	85
DHDDS	286	518	277	614	377	305	447	157	706	162	549	207	356
DHDH	22	0	33	0	17	0	27	39	0	234	1	7	2
DHFR	30	72	30	95	65	187	128	9	68	0	91	27	163
DHFRL1	57	65	58	91	58	61	76	10	23	11	60	41	70
DHFRP1	9	0	0	9	10	0	5	0	1	0	0	1	0
DHFRP2	0	0	0	0	0	0	0	0	0	0	0	0	0
DHH	8	0	0	3	6	0	9	7	12	0	2	5	3
DHODH	24	119	21	90	48	91	72	0	52	14	126	13	62
DHPS	147	482	94	722	357	552	479	64	471	78	513	133	538
DHRS1	96	265	120	560	103	224	161	72	254	125	318	80	357
DHRS11	22	14	38	31	24	38	75	11	67	9	31	1	13
DHRS12	85	193	155	339	187	220	206	195	349	238	229	135	256
DHRS13	23	23	48	14	49	31	97	79	16	0	33	65	75
DHRS2	0	0	0	0	0	0	0	0	0	0	0	1	0
DHRS3	131	9	160	18	38	280	176	138	0	147	34	9	73
DHRS4	85	184	67	280	25	175	118	39	146	19	141	33	255
DHRS4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS4L2	119	289	33	251	82	165	152	22	156	9	164	147	237
DHRS7	569	918	483	763	466	1008	1040	212	378	369	577	486	1079
DHRS7B	117	385	90	352	88	122	279	39	253	85	272	181	191
DHRS7C	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS9	69	52	48	207	0	8	202	134	70	116	40	91	40
DHRSX	245	208	130	381	138	219	381	256	301	233	155	211	249
DHRSX-IT1	18	12	0	36	7	6	6	7	37	7	31	8	9
DHTKD1	137	270	140	649	390	426	616	85	370	98	383	420	399
DHX15	1024	1964	1211	1878	2325	2449	2309	584	1827	773	1971	791	1987
DHX16	461	526	242	821	266	319	879	78	511	157	599	223	452
DHX29	201	504	171	767	278	610	423	89	265	104	537	115	541
DHX30	444	651	168	952	573	728	852	122	909	99	804	183	604
DHX32	98	293	88	257	114	229	190	53	238	68	129	43	204
DHX33	79	279	35	377	153	219	243	59	294	65	183	51	252
DHX34	615	490	1637	867	552	332	1640	1734	644	2132	664	1253	718
DHX35	93	289	63	363	117	295	228	14	316	6	256	39	259
DHX36	368	801	509	1120	1317	1076	997	440	828	487	1124	453	658
DHX37	133	492	71	419	399	436	465	52	419	69	475	75	466
DHX38	575	859	542	1250	651	947	1205	410	946	521	1059	459	852
DHX40	112	536	282	551	408	483	601	212	178	183	444	134	581
DHX40P1	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX57	85	802	100	1028	168	511	236	33	420	25	771	78	530
DHX58	702	792	90	383	219	221	1215	258	843	220	337	1536	207
DHX8	571	1427	501	1743	939	1272	1461	241	1218	202	1194	549	1408
DHX9	1000	2383	954	2228	2277	2840	2400	447	1396	789	1976	540	2195
DHX9P1	0	6	0	2	6	0	10	0	0	0	10	1	18
DIABLO	60	197	97	218	131	193	126	81	136	195	184	76	238
DIAPH1	2748	6790	2618	6997	2759	6417	8039	1795	5768	2575	6125	2487	5615
DIAPH2	341	1678	583	1610	443	1203	907	327	1058	324	1575	328	1813
DIAPH2-AS1	12	50	32	123	33	46	33	16	126	5	128	40	62
DIAPH3	13	5	26	7	19	43	12	12	0	22	1	13	8
DIAPH3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIAPH3-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER1	1262	4256	1363	6962	1434	3489	5367	819	6150	698	4097	1541	4943
DICER1-AS1	12	13	26	47	4	43	85	9	71	22	58	0	44
DIDO1	441	1624	550	1863	1039	1850	1011	210	1865	498	1877	547	1556
DIEXF	96	251	37	268	380	293	173	24	235	18	250	15	129
DIMT1	83	222	60	285	188	301	246	27	238	34	234	60	166
DIO1	0	20	24	13	21	16	25	0	7	40	42	9	20
DIO2	4	0	60	0	0	0	37	28	0	0	0	1	0
DIO2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIO3	0	0	0	0	0	0	0	0	0	0	0	0	0
DIO3OS	0	0	0	0	0	5	0	0	0	0	0	1	0
DIP2A	472	858	456	1157	514	2376	1132	223	1581	396	1615	267	798
DIP2A-IT1	11	15	16	41	42	158	4	0	55	29	66	0	18
DIP2B	1164	1849	1562	1712	1428	1359	3682	1328	1774	1403	1737	2639	1817
DIP2C	23	8	65	0	59	21	34	17	0	9	16	15	0
DIRAS1	15	0	30	0	234	17	4	0	0	0	0	0	0
DIRAS2	0	0	0	0	0	0	0	0	0	0	0	1	0
DIRAS3	0	0	0	0	0	0	0	0	0	0	0	2	0
DIRC1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIRC2	318	873	612	1152	373	365	960	488	530	604	721	455	731
DIRC3	15	12	3	21	37	33	104	1	4	9	22	17	3
DIS3	271	790	315	832	860	910	794	157	637	260	635	180	727
